event,trigger_type,readout_type,global_timestamp
10000,Physics,None,1533761883
10001,Physics,None,1533761883
10002,Physics,None,1533761883
10003,Physics,None,1533761883
10004,Physics,None,1533761883
10005,Physics,None,1533761883
10006,Physics,None,1533761883
10007,Physics,None,1533761883
10008,Physics,None,1533761883
10009,Physics,None,1533761883
10010,Physics,None,1533761883
10011,Physics,None,1533761883
10012,Physics,None,1533761883
10013,Physics,None,1533761883
10014,Physics,None,1533761883
10015,Physics,None,1533761883
10016,Physics,None,1533761883
10017,Physics,None,1533761883
10018,Physics,None,1533761883
10019,Physics,None,1533761883
10020,Physics,None,1533761884
10021,Physics,None,1533761884
10022,Physics,None,1533761884
10023,Physics,None,1533761884
10024,Physics,None,1533761884
10025,Physics,None,1533761884
10026,Physics,None,1533761884
10027,Physics,None,1533761884
10028,Physics,None,1533761884
10029,Physics,None,1533761884
10030,Physics,None,1533761884
10031,Physics,None,1533761884
10032,Physics,None,1533761884
10033,Physics,None,1533761884
10034,Physics,None,1533761884
10035,Physics,None,1533761884
10036,Physics,None,1533761884
10037,Physics,None,1533761884
10038,Physics,None,1533761884
10039,Physics,None,1533761884
10040,Physics,None,1533761885
10041,Physics,None,1533761885
10042,Physics,None,1533761885
10043,Physics,None,1533761885
10044,Physics,None,1533761885
10045,Physics,None,1533761885
10046,Physics,None,1533761885
10047,Physics,None,1533761885
10048,Physics,None,1533761885
10049,Physics,None,1533761885
10050,Physics,None,1533761885
10051,Physics,None,1533761885
10052,Physics,None,1533761885
10053,Physics,None,1533761885
10054,Physics,None,1533761885
10055,Physics,None,1533761885
10056,Physics,None,1533761885
10057,Physics,None,1533761885
10058,Physics,None,1533761885
10059,Physics,None,1533761885
10060,Physics,None,1533761886
10061,Physics,None,1533761886
10062,Physics,None,1533761886
10063,Physics,None,1533761886
10064,Physics,None,1533761886
10065,Physics,None,1533761886
10066,Physics,None,1533761886
10067,Physics,None,1533761886
10068,Physics,None,1533761886
10069,Physics,None,1533761886
10070,Physics,None,1533761886
10071,Physics,None,1533761886
10072,Physics,None,1533761886
10073,Physics,None,1533761886
10074,Physics,None,1533761886
10075,Physics,None,1533761886
10076,Physics,None,1533761886
10077,Physics,None,1533761886
10078,Physics,None,1533761886
10079,Physics,None,1533761886
10080,Physics,None,1533761887
10081,Physics,None,1533761887
10082,Physics,None,1533761887
10083,Physics,None,1533761887
10084,Physics,None,1533761887
10085,Physics,None,1533761887
10086,Physics,None,1533761887
10087,Physics,None,1533761887
10088,Physics,None,1533761887
10089,Physics,None,1533761887
10090,Physics,None,1533761887
10091,Physics,None,1533761887
10092,Physics,None,1533761887
10093,Physics,None,1533761887
10094,Physics,None,1533761887
10095,Physics,None,1533761887
10096,Physics,None,1533761887
10097,Physics,None,1533761887
10098,Physics,None,1533761887
10099,Physics,None,1533761887
10100,Physics,None,1533761888
10101,Physics,None,1533761888
10102,Physics,None,1533761888
10103,Physics,None,1533761888
10104,Physics,None,1533761888
10105,Physics,None,1533761888
10106,Physics,None,1533761888
10107,Physics,None,1533761888
10108,Physics,None,1533761888
10109,Physics,None,1533761888
10110,Physics,None,1533761888
10111,Physics,None,1533761888
10112,Physics,None,1533761888
10113,Physics,None,1533761888
10114,Physics,None,1533761888
10115,Physics,None,1533761888
10116,Physics,None,1533761888
10117,Physics,None,1533761888
10118,Physics,None,1533761888
10119,Physics,None,1533761888
10120,Physics,None,1533761889
10121,Physics,None,1533761889
10122,Physics,None,1533761889
10123,Physics,None,1533761889
10124,Physics,None,1533761889
10125,Physics,None,1533761889
10126,Physics,None,1533761889
10127,Physics,None,1533761889
10128,Physics,None,1533761889
10129,Physics,None,1533761889
10130,Physics,None,1533761889
10131,Physics,None,1533761889
10132,Physics,None,1533761889
10133,Physics,None,1533761889
10134,Physics,None,1533761889
10135,Physics,None,1533761889
10136,Physics,None,1533761889
10137,Physics,None,1533761889
10138,Physics,None,1533761889
10139,Physics,None,1533761889
10140,Physics,None,1533761890
10141,Physics,None,1533761890
10142,Physics,None,1533761890
10143,Physics,None,1533761890
10144,Physics,None,1533761890
10145,Physics,None,1533761890
10146,Physics,None,1533761890
10147,Physics,None,1533761890
10148,Physics,None,1533761890
10149,Physics,None,1533761890
10150,Physics,None,1533761890
10151,Physics,None,1533761890
10152,Physics,None,1533761890
10153,Physics,None,1533761890
10154,Physics,None,1533761890
10155,Physics,None,1533761890
10156,Physics,None,1533761890
10157,Physics,None,1533761890
10158,Physics,None,1533761890
10159,Physics,None,1533761890
10160,Physics,None,1533761891
10161,Physics,None,1533761891
10162,Physics,None,1533761891
10163,Physics,None,1533761891
10164,Physics,None,1533761891
10165,Physics,None,1533761891
10166,Physics,None,1533761891
10167,Physics,None,1533761891
10168,Physics,None,1533761891
10169,Physics,None,1533761891
10170,Physics,None,1533761891
10171,Physics,None,1533761891
10172,Physics,None,1533761891
10173,Physics,None,1533761891
10174,Physics,None,1533761891
10175,Physics,None,1533761891
10176,Physics,None,1533761891
10177,Physics,None,1533761891
10178,Physics,None,1533761891
10179,Physics,None,1533761891
10180,Physics,None,1533761892
10181,Physics,None,1533761892
10182,Physics,None,1533761892
10183,Physics,None,1533761892
10184,Physics,None,1533761892
10185,Physics,None,1533761892
10186,Physics,None,1533761892
10187,Physics,None,1533761892
10188,Physics,None,1533761892
10189,Physics,None,1533761892
10190,Physics,None,1533761892
10191,Physics,None,1533761892
10192,Physics,None,1533761892
10193,Physics,None,1533761892
10194,Physics,None,1533761892
10195,Physics,None,1533761892
10196,Physics,None,1533761892
10197,Physics,None,1533761892
10198,Physics,None,1533761892
10199,Physics,None,1533761892
10200,Physics,None,1533761893
10201,Physics,None,1533761893
10202,Physics,None,1533761893
10203,Physics,None,1533761893
10204,Physics,None,1533761893
10205,Physics,None,1533761893
10206,Physics,None,1533761893
10207,Physics,None,1533761893
10208,Physics,None,1533761893
10209,Physics,None,1533761893
10210,Physics,None,1533761893
10211,Physics,None,1533761893
10212,Physics,None,1533761893
10213,Physics,None,1533761893
10214,Physics,None,1533761893
10215,Physics,None,1533761893
10216,Physics,None,1533761893
10217,Physics,None,1533761893
10218,Physics,None,1533761893
10219,Physics,None,1533761893
10220,Physics,None,1533761894
10221,Physics,None,1533761894
10222,Physics,None,1533761894
10223,Physics,None,1533761894
10224,Physics,None,1533761894
10225,Physics,None,1533761894
10226,Physics,None,1533761894
10227,Physics,None,1533761894
10228,Physics,None,1533761894
10229,Physics,None,1533761894
10230,Physics,None,1533761894
10231,Physics,None,1533761894
10232,Physics,None,1533761894
10233,Physics,None,1533761894
10234,Physics,None,1533761894
10235,Physics,None,1533761894
10236,Physics,None,1533761894
10237,Physics,None,1533761894
10238,Physics,None,1533761894
10239,Physics,None,1533761894
10240,Physics,None,1533761895
10241,Physics,None,1533761895
10242,Physics,None,1533761895
10243,Physics,None,1533761895
10244,Physics,None,1533761895
10245,Physics,None,1533761895
10246,Physics,None,1533761895
10247,Physics,None,1533761895
10248,Physics,None,1533761895
10249,Physics,None,1533761895
10250,Physics,None,1533761895
10251,Physics,None,1533761895
10252,Physics,None,1533761895
10253,Physics,None,1533761895
10254,Physics,None,1533761895
10255,Physics,None,1533761895
10256,Physics,None,1533761895
10257,Physics,None,1533761895
10258,Physics,None,1533761895
10259,Physics,None,1533761895
10260,Physics,None,1533761896
10261,Physics,None,1533761896
10262,Physics,None,1533761896
10263,Physics,None,1533761896
10264,Physics,None,1533761896
10265,Physics,None,1533761896
10266,Physics,None,1533761896
10267,Physics,None,1533761896
10268,Physics,None,1533761896
10269,Physics,None,1533761896
10270,Physics,None,1533761896
10271,Physics,None,1533761896
10272,Physics,None,1533761896
10273,Physics,None,1533761896
10274,Physics,None,1533761896
10275,Physics,None,1533761896
10276,Physics,None,1533761896
10277,Physics,None,1533761896
10278,Physics,None,1533761896
10279,Physics,None,1533761896
10280,Physics,None,1533761897
10281,Physics,None,1533761897
10282,Physics,None,1533761897
10283,Physics,None,1533761897
10284,Physics,None,1533761897
10285,Physics,None,1533761897
10286,Physics,None,1533761897
10287,Physics,None,1533761897
10288,Physics,None,1533761897
10289,Physics,None,1533761897
10290,Physics,None,1533761897
10291,Physics,None,1533761897
10292,Physics,None,1533761897
10293,Physics,None,1533761897
10294,Physics,None,1533761897
10295,Physics,None,1533761897
10296,Physics,None,1533761897
10297,Physics,None,1533761897
10298,Physics,None,1533761897
10299,Physics,None,1533761897
10300,Physics,None,1533761898
10301,Physics,None,1533761898
10302,Physics,None,1533761898
10303,Physics,None,1533761898
10304,Physics,None,1533761898
10305,Physics,None,1533761898
10306,Physics,None,1533761898
10307,Physics,None,1533761898
10308,Physics,None,1533761898
10309,Physics,None,1533761898
10310,Physics,None,1533761898
10311,Physics,None,1533761898
10312,Physics,None,1533761898
10313,Physics,None,1533761898
10314,Physics,None,1533761898
10315,Physics,None,1533761898
10316,Physics,None,1533761898
10317,Physics,None,1533761898
10318,Physics,None,1533761898
10319,Physics,None,1533761898
10320,Physics,None,1533761899
10321,Physics,None,1533761899
10322,Physics,None,1533761899
10323,Physics,None,1533761899
10324,Physics,None,1533761899
10325,Physics,None,1533761899
10326,Physics,None,1533761899
10327,Physics,None,1533761899
10328,Physics,None,1533761899
10329,Physics,None,1533761899
10330,Physics,None,1533761899
10331,Physics,None,1533761899
10332,Physics,None,1533761899
10333,Physics,None,1533761899
10334,Physics,None,1533761899
10335,Physics,None,1533761899
10336,Physics,None,1533761899
10337,Physics,None,1533761899
10338,Physics,None,1533761899
10339,Physics,None,1533761899
10340,Physics,None,1533761900
10341,Physics,None,1533761900
10342,Physics,None,1533761900
10343,Physics,None,1533761900
10344,Physics,None,1533761900
10345,Physics,None,1533761900
10346,Physics,None,1533761900
10347,Physics,None,1533761900
10348,Physics,None,1533761900
10349,Physics,None,1533761900
10350,Physics,None,1533761900
10351,Physics,None,1533761900
10352,Physics,None,1533761900
10353,Physics,None,1533761900
10354,Physics,None,1533761900
10355,Physics,None,1533761900
10356,Physics,None,1533761900
10357,Physics,None,1533761900
10358,Physics,None,1533761900
10359,Physics,None,1533761900
10360,Physics,None,1533761901
10361,Physics,None,1533761901
10362,Physics,None,1533761901
10363,Physics,None,1533761901
10364,Physics,None,1533761901
10365,Physics,None,1533761901
10366,Physics,None,1533761901
10367,Physics,None,1533761901
10368,Physics,None,1533761901
10369,Physics,None,1533761901
10370,Physics,None,1533761901
10371,Physics,None,1533761901
10372,Physics,None,1533761901
10373,Physics,None,1533761901
10374,Physics,None,1533761901
10375,Physics,None,1533761901
10376,Physics,None,1533761901
10377,Physics,None,1533761901
10378,Physics,None,1533761901
10379,Physics,None,1533761901
10380,Physics,None,1533761902
10381,Physics,None,1533761902
10382,Physics,None,1533761902
10383,Physics,None,1533761902
10384,Physics,None,1533761902
10385,Physics,None,1533761902
10386,Physics,None,1533761902
10387,Physics,None,1533761902
10388,Physics,None,1533761902
10389,Physics,None,1533761902
10390,Physics,None,1533761902
10391,Physics,None,1533761902
10392,Physics,None,1533761902
10393,Physics,None,1533761902
10394,Physics,None,1533761902
10395,Physics,None,1533761902
10396,Physics,None,1533761902
10397,Physics,None,1533761902
10398,Physics,None,1533761902
10399,Physics,None,1533761902
10400,Physics,None,1533761903
10401,Physics,None,1533761903
10402,Physics,None,1533761903
10403,Physics,None,1533761903
10404,Physics,None,1533761903
10405,Physics,None,1533761903
10406,Physics,None,1533761903
10407,Physics,None,1533761903
10408,Physics,None,1533761903
10409,Physics,None,1533761903
10410,Physics,None,1533761903
10411,Physics,None,1533761903
10412,Physics,None,1533761903
10413,Physics,None,1533761903
10414,Physics,None,1533761903
10415,Physics,None,1533761903
10416,Physics,None,1533761903
10417,Physics,None,1533761903
10418,Physics,None,1533761903
10419,Physics,None,1533761903
10420,Physics,None,1533761904
10421,Physics,None,1533761904
10422,Physics,None,1533761904
10423,Physics,None,1533761904
10424,Physics,None,1533761904
10425,Physics,None,1533761904
10426,Physics,None,1533761904
10427,Physics,None,1533761904
10428,Physics,None,1533761904
10429,Physics,None,1533761904
10430,Physics,None,1533761904
10431,Physics,None,1533761904
10432,Physics,None,1533761904
10433,Physics,None,1533761904
10434,Physics,None,1533761904
10435,Physics,None,1533761904
10436,Physics,None,1533761904
10437,Physics,None,1533761904
10438,Physics,None,1533761904
10439,Physics,None,1533761904
10440,Physics,None,1533761905
10441,Physics,None,1533761905
10442,Physics,None,1533761905
10443,Physics,None,1533761905
10444,Physics,None,1533761905
10445,Physics,None,1533761905
10446,Physics,None,1533761905
10447,Physics,None,1533761905
10448,Physics,None,1533761905
10449,Physics,None,1533761905
10450,Physics,None,1533761905
10451,Physics,None,1533761905
10452,Physics,None,1533761905
10453,Physics,None,1533761905
10454,Physics,None,1533761905
10455,Physics,None,1533761905
10456,Physics,None,1533761905
10457,Physics,None,1533761905
10458,Physics,None,1533761905
10459,Physics,None,1533761905
10460,Physics,None,1533761906
10461,Physics,None,1533761906
10462,Physics,None,1533761906
10463,Physics,None,1533761906
10464,Physics,None,1533761906
10465,Physics,None,1533761906
10466,Physics,None,1533761906
10467,Physics,None,1533761906
10468,Physics,None,1533761906
10469,Physics,None,1533761906
10470,Physics,None,1533761906
10471,Physics,None,1533761906
10472,Physics,None,1533761906
10473,Physics,None,1533761906
10474,Physics,None,1533761906
10475,Physics,None,1533761906
10476,Physics,None,1533761906
10477,Physics,None,1533761906
10478,Physics,None,1533761906
10479,Physics,None,1533761906
10480,Physics,None,1533761907
10481,Physics,None,1533761907
10482,Physics,None,1533761907
10483,Physics,None,1533761907
10484,Physics,None,1533761907
10485,Physics,None,1533761907
10486,Physics,None,1533761907
10487,Physics,None,1533761907
10488,Physics,None,1533761907
10489,Physics,None,1533761907
10490,Physics,None,1533761907
10491,Physics,None,1533761907
10492,Physics,None,1533761907
10493,Physics,None,1533761907
10494,Physics,None,1533761907
10495,Physics,None,1533761907
10496,Physics,None,1533761907
10497,Physics,None,1533761907
10498,Physics,None,1533761907
10499,Physics,None,1533761907
10500,Physics,None,1533761908
10501,Physics,None,1533761908
10502,Physics,None,1533761908
10503,Physics,None,1533761908
10504,Physics,None,1533761908
10505,Physics,None,1533761908
10506,Physics,None,1533761908
10507,Physics,None,1533761908
10508,Physics,None,1533761908
10509,Physics,None,1533761908
10510,Physics,None,1533761908
10511,Physics,None,1533761908
10512,Physics,None,1533761908
10513,Physics,None,1533761908
10514,Physics,None,1533761908
10515,Physics,None,1533761908
10516,Physics,None,1533761908
10517,Physics,None,1533761908
10518,Physics,None,1533761908
10519,Physics,None,1533761908
10520,Physics,None,1533761909
10521,Physics,None,1533761909
10522,Physics,None,1533761909
10523,Physics,None,1533761909
10524,Physics,None,1533761909
10525,Physics,None,1533761909
10526,Physics,None,1533761909
10527,Physics,None,1533761909
10528,Physics,None,1533761909
10529,Physics,None,1533761909
10530,Physics,None,1533761909
10531,Physics,None,1533761909
10532,Physics,None,1533761909
10533,Physics,None,1533761909
10534,Physics,None,1533761909
10535,Physics,None,1533761909
10536,Physics,None,1533761909
10537,Physics,None,1533761909
10538,Physics,None,1533761909
10539,Physics,None,1533761909
10540,Physics,None,1533761910
10541,Physics,None,1533761910
10542,Physics,None,1533761910
10543,Physics,None,1533761910
10544,Physics,None,1533761910
10545,Physics,None,1533761910
10546,Physics,None,1533761910
10547,Physics,None,1533761910
10548,Physics,None,1533761910
10549,Physics,None,1533761910
10550,Physics,None,1533761910
10551,Physics,None,1533761910
10552,Physics,None,1533761910
10553,Physics,None,1533761910
10554,Physics,None,1533761910
10555,Physics,None,1533761910
10556,Physics,None,1533761910
10557,Physics,None,1533761910
10558,Physics,None,1533761910
10559,Physics,None,1533761910
10560,Physics,None,1533761911
10561,Physics,None,1533761911
10562,Physics,None,1533761911
10563,Physics,None,1533761911
10564,Physics,None,1533761911
10565,Physics,None,1533761911
10566,Physics,None,1533761911
10567,Physics,None,1533761911
10568,Physics,None,1533761911
10569,Physics,None,1533761911
10570,Physics,None,1533761911
10571,Physics,None,1533761911
10572,Physics,None,1533761911
10573,Physics,None,1533761911
10574,Physics,None,1533761911
10575,Physics,None,1533761911
10576,Physics,None,1533761911
10577,Physics,None,1533761911
10578,Physics,None,1533761911
10579,Physics,None,1533761911
10580,Physics,None,1533761912
10581,Physics,None,1533761912
10582,Physics,None,1533761912
10583,Physics,None,1533761912
10584,Physics,None,1533761912
10585,Physics,None,1533761912
10586,Physics,None,1533761912
10587,Physics,None,1533761912
10588,Physics,None,1533761912
10589,Physics,None,1533761912
10590,Physics,None,1533761912
10591,Physics,None,1533761912
10592,Physics,None,1533761912
10593,Physics,None,1533761912
10594,Physics,None,1533761912
10595,Physics,None,1533761912
10596,Physics,None,1533761912
10597,Physics,None,1533761912
10598,Physics,None,1533761912
10599,Physics,None,1533761912
10600,Physics,None,1533761913
10601,Physics,None,1533761913
10602,Physics,None,1533761913
10603,Physics,None,1533761913
10604,Physics,None,1533761913
10605,Physics,None,1533761913
10606,Physics,None,1533761913
10607,Physics,None,1533761913
10608,Physics,None,1533761913
10609,Physics,None,1533761913
10610,Physics,None,1533761913
10611,Physics,None,1533761913
10612,Physics,None,1533761913
10613,Physics,None,1533761913
10614,Physics,None,1533761913
10615,Physics,None,1533761913
10616,Physics,None,1533761913
10617,Physics,None,1533761913
10618,Physics,None,1533761913
10619,Physics,None,1533761913
10620,Physics,None,1533761914
10621,Physics,None,1533761914
10622,Physics,None,1533761914
10623,Physics,None,1533761914
10624,Physics,None,1533761914
10625,Physics,None,1533761914
10626,Physics,None,1533761914
